Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы
Грабли,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 5450830,http://grabli.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7413227,37.6287265,"Fr-Sa 09:00-23:00; Mo-Th,Su 09:00-22:00"
True Burgers,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1054499,https://www.facebook.com/TrueBurgers,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7464981,37.5609638,Mo-Su 11:00-23:00
Pizzamento,Кофейня/Кафе,Адрес не указан (см. координаты),+7 969 1123388,http://pizzamento.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6729122,37.664561,Mo-Su 12:00-24:00
Эссе,Кофейня/Кафе,"Никитинская улица, 13",+7 499 9400564,https://cafeesse.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7990447,37.7747373,Mo-Su 09:00-24:00
Му-Му,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2696387,https://www.cafemumu.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7897921,37.6809206,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00
Кафетериус,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7787015,http://nikitskaya.cafeterius.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.757282,37.5949512,"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00"
Пушкинъ,Кофейня/Кафе,"Тверской бульвар, 26/5",+7 495 6044280,http://www.cafe-pushkin.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7634115,37.6046705,Mo-Su 11:00-21:00
Алтаргана,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 9755639, +7 915 4924830",https://altargana-moscow.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7673462,37.6522939,Mo-Su 12:00-24:00
Чебуречная СССР,Кофейня/Кафе,"Ленинградский проспект, 75",+7 499 1587987,http://chebureky.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8051354,37.5107086,Mo-Su 11:00-23:00
Гаврош,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 1440024,https://gavroche-cafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7345371,37.4884003,
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,"Милютинский переулок, 19/4 с2",+7 495 628-35-38,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7658952,37.6322394,Mo-Su 08:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,"улица Покровка, 14/2 с1",+7 495 623-71-85,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7591694,37.6453003,Mo-Su 08:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 690-13-41,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7626987,37.5892139,Mo-Su 08:00-23:00
Булка,Пекарня,Адрес не указан (см. координаты),+7 495 2589170,http://www.bulkabakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7737934,37.5860675,Mo-Su 08:00-24:00
Карамель,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 6255655,http://karaoke-karamel.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5480669,37.5505158,"Mo-Fr 19:00-06:00; Sa,Su 00:00-24:00"
Диалог,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 1249391,https://vk.com/zdialog,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",56.0098806,37.1991431,Mo-Fr 09:00-16:00
Пивбар 6/9,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6257833,http://кафекукушка.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7611536,37.6240418,
French Kiss,Кондитерская,Адрес не указан (см. координаты),+7 926 9964414,http://www.frenchkiss.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.735131,37.61281,Mo-Su 09:30-22:30
ЭТО Кафе,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 3554291,http://eto-cafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",56.000122,37.2092392,"Mo-Fr 08:00-24:00; Sa-Su,PH 10:00-24:00"
Буржуй,Кофейня/Кафе,"Нижняя Красносельская улица, 40/12 к8",+7 495 9846931,www.burjui-club.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7748626,37.6718904,Mo-Fr 09:00-18:00
Чеми,Кофейня/Кафе,Адрес не указан (см. координаты),+79661151100,https://chemicafe.ru/zhivopisnaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7847828,37.4561101,Mo-Su 00:00-12:00
