Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы,Is_Mobile
True Burgers,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1054499,https://www.facebook.com/TrueBurgers,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7464981,37.5609638,Mo-Su 11:00-23:00,True
Pizzamento,Кофейня/Кафе,Адрес не указан (см. координаты),+7 969 1123388,http://pizzamento.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6729122,37.664561,Mo-Su 12:00-24:00,True
Алтаргана,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 9755639, +7 915 4924830",https://altargana-moscow.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7673462,37.6522939,Mo-Su 12:00-24:00,True
Булка,Пекарня,Адрес не указан (см. координаты),+7 495 2589170,http://www.bulkabakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7737934,37.5860675,Mo-Su 08:00-24:00,True
Карамель,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 6255655,http://karaoke-karamel.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5480669,37.5505158,"Mo-Fr 19:00-06:00; Sa,Su 00:00-24:00",True
Диалог,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 1249391,https://vk.com/zdialog,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",56.0098806,37.1991431,Mo-Fr 09:00-16:00,True
French Kiss,Кондитерская,Адрес не указан (см. координаты),+7 926 9964414,http://www.frenchkiss.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.735131,37.61281,Mo-Su 09:30-22:30,True
ЭТО Кафе,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 3554291,http://eto-cafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",56.000122,37.2092392,"Mo-Fr 08:00-24:00; Sa-Su,PH 10:00-24:00",True
Чеми,Кофейня/Кафе,Адрес не указан (см. координаты),+79661151100,https://chemicafe.ru/zhivopisnaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7847828,37.4561101,Mo-Su 00:00-12:00,True
Старт,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 794-78-74,https://cafe_start.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7218771,37.5426065,Mo-Fr 11:00-22:00; Sa-Su 11:00-23:00,True
Пекарня Кондитерская Осетинские Пироги,Пекарня,Адрес не указан (см. координаты),+79153804646,https://pekarniakonditerskaia.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8810674,37.6844671,09:00-21:00,True
Мир Шашлыков,Кофейня/Кафе,"бульвар Яна Райниса, 13","+7 499 493-51-62,  +7 903 576-02-00",https://www.mir-sha.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8494084,37.4333553,24/7,True
